1	564468	564846
1	566722	568181
1	569718	570088
1	2629204	2629290
1	4363160	4363362
1	6253576	6253655
1	16891326	16891392
1	16893654	16893668
1	16893670	16893671
1	26455950	26456028
1	89499367	89499455
1	91852759	91853173
1	121351915	121358161
1	121359470	121359523
1	121370274	121370356
1	121386253	121386356
1	121478461	121480251
1	121483097	121485434
1	142535453	142539743
1	142542333	142542422
1	143279012	143279113
1	143282169	143282259
1	143283582	143283849
1	143534716	143535325
1	143540342	143540800
1	149034733	149035759
1	156186208	156186676
1	210827259	210827335
1	224200246	224203722
1	228771309	228771388
1	231007778	231007856
1	236260630	236260710
1	237766533	237766617
10	35310386	35310673
10	38774345	38774622
10	38776441	38778165
10	38780711	38780780
10	38782766	38782829
10	38785746	38785807
10	38789459	38789580
10	38792183	38792267
10	38793859	38793941
10	38795800	38795884
10	38797267	38798607
10	38801896	38802557
10	38805887	38806938
10	38808556	38808638
10	38813315	38815129
10	38816153	38818826
10	38871352	38872478
10	38873765	38874777
10	38877243	38877329
10	38880452	38883301
10	38884541	38884684
10	39078800	39079679
10	39082194	39082612
10	39083764	39088400
10	39094135	39094672
10	39096734	39096978
10	39098249	39099472
10	39100482	39102195
10	39105178	39105366
10	39107172	39107468
10	39108693	39108891
10	39111236	39112827
10	39114109	39114343
10	39115624	39116697
10	39120334	39123771
10	39125425	39125657
10	39128570	39129137
10	39132081	39133440
10	39136691	39138891
10	39139905	39139969
10	39141151	39141285
10	39144002	39144242
10	39145621	39147106
10	39148910	39151205
10	39153441	39154335
10	42355000	42367852
10	42368862	42372106
10	42373895	42403174
10	42404367	42405346
10	42406564	42409270
10	42427289	42427372
10	42525977	42526055
10	42527216	42532918
10	42534529	42535699
10	42538963	42539785
10	42542144	42542225
10	42544593	42544699
10	42596688	42600507
10	42665820	42666973
10	42791098	42791466
10	42793866	42793949
10	42795008	42795085
10	42797105	42797376
10	42799509	42800233
10	42801361	42801436
10	42805447	42805516
10	42807804	42807889
10	42809005	42810082
10	42813527	42813612
10	42815354	42815438
10	42816850	42818090
10	98561305	98561579
10	127575346	127575401
10	127578091	127578228
10	127580982	127581134
10	130262808	130262892
10	134177920	134177984
10	135499393	135501266
11	585475	585548
11	48804100	48805203
11	48810264	48810348
11	48816283	48816366
11	48859206	48859613
11	48863713	48863797
11	48866795	48866880
11	48880517	48880602
11	48882613	48882684
11	48893032	48893198
11	48894597	48894856
11	48896120	48896198
11	48943949	48944032
11	48947844	48947903
11	48953875	48953954
11	50649547	50649628
11	50724684	50724766
11	50762819	50762906
11	50778888	50778972
11	51250292	51250375
11	51567270	51570312
11	51571946	51573470
11	51574753	51575883
11	51576954	51577037
11	51578647	51581161
11	51582784	51584390
11	51590542	51591503
11	51593029	51593243
11	54911879	54911961
11	54944433	54944515
11	54954782	54954864
11	54961100	54961184
11	54990286	54990355
11	55025685	55026478
11	85194987	85195294
12	2364966	2365227
12	17250619	17250683
12	20704334	20704523
12	34372594	34372681
12	34833338	34833520
12	34837614	34837713
12	34838925	34839011
12	34841427	34841615
12	34845033	34845107
12	34846283	34848485
12	34849909	34851578
